Country,Year,Arrivals
Switzerland,2018,41080
Turkey,2018,2600
United Kingdom,2018,151913
Belarus,2018,509
Kazakhstan,2018,306
Russia,2018,11007
Ukraine,2018,2765
Comoros,2018,956
Madagascar,2018,14365
Seychelles,2018,5370
Algeria,2018,303
Angola,2018,637
Benin,2018,119
Botswana,2018,1070
Burundi,2018,84
Cameroon,2018,445
Congo,2018,603
Egypt,2018,765
Ethiopia,2018,309
Gabon,2018,160
Ghana,2018,1011
Ivory coast,2018,494
Kenya,2018,4035
Lesotho,2018,337
Malawi,2018,420
Mayotte,2018,1355
Morocco,2018,901
Mozambique,2018,809
Namibia,2018,1358
Niger,2018,160
Nigeria,2018,2157
Rwanda,2018,217
Senegal,2018,275
South Africa,2018,128097
Sudan,2018,91
Tanzania,2018,797
Togo,2018,68
Tunisia,2018,420
Uganda,2018,676
Zimbabwe,2018,2496
Zambia,2018,1124
Afghanistan,2018,743
Bangladesh,2018,1195
Hong Kong,2018,1519
India,2018,85765
Indonesia,2018,2519
Israel,2018,2165
Japan,2018,2046
Korea,2018,7204
Malaysia,2018,2264
Maldives,2018,51
Nepal,2018,557
Pakistan,2018,1207
China,2018,65736
Philippines,2018,2872
Singapore,2018,2809
Sri Lanka,2018,535
Taiwan,2018,1767
Thailand,2018,486
Vietnam,2018,740
Bahrain,2018,215
Iran,2018,258
Jordan,2018,152
Kuwait,2018,661
Lebanon,2018,499
Oman,2018,240
Qatar,2018,250
Saudi Arabia,2018,16507
United Arab Emirates,2018,12058
Australia,2018,20949
New Zealand,2018,1002
Brazil,2018,3743
Canada,2018,7747
USA,2018,10525
Austria,2019,18390
Belgium,2019,16959
Bulgaria,2019,2040
Czech Republic,2019,14729
Croatia,2019,992
Denmark,2019,7388
Estonia,2019,1313
Finland,2019,4051
France,2019,302038
Germany,2019,129100
Greece,2019,1086
Hungary,2019,4061
Ireland,2019,3939
Italy,2019,41991
Latvia,2019,631
Lithuania,2019,1338
Luxembourg,2019,2030
Netherlands,2019,16814
Norway,2019,5703
Poland,2019,11411
Portugal,2019,5236
Romania,2019,4817
Serbia,2019,816
Slovakia,2019,4234
Slovenia,2019,2211
Spain,2019,14307
Sweden,2019,13215
Switzerland,2019,42045
Turkey,2019,3011
United Kingdom,2019,141520
Belarus,2019,725
Kazakhstan,2019,316
Russia,2019,11191
Ukraine,2019,3622
Comoros,2019,1305
Madagascar,2019,15979
Seychelles,2019,6838
Algeria,2019,352
Angola,2019,627
Benin,2019,95
Botswana,2019,1514
Burundi,2019,110
Cameroon,2019,473
Congo,2019,753
Egypt,2019,830
Ethiopia,2019,318
Gabon,2019,205
Ghana,2019,1036
Ivory coast,2019,557
Kenya,2019,4887
Lesotho,2019,240
Malawi,2019,469
Mayotte,2019,1597
Morocco,2019,1053
Mozambique,2019,1151
Namibia,2019,1365
Niger,2019,217
Nigeria,2019,3614
Rwanda,2019,297
Senegal,2019,260
South Africa,2019,118556
Sudan,2019,97
Tanzania,2019,1074
Togo,2019,80
Tunisia,2019,507
Uganda,2019,824
Zimbabwe,2019,3021
Zambia,2019,1171
Afghanistan,2019,815
Bangladesh,2019,935
Hong Kong,2019,1432
India,2019,75673
Indonesia,2019,2734
Israel,2019,3082
Japan,2019,2234
Korea,2019,7072
Malaysia,2019,2045
Maldives,2019,312
Nepal,2019,336
Pakistan,2019,932
China,2019,42740
Philippines,2019,3299
Singapore,2019,2794
Sri Lanka,2019,511
Taiwan,2019,1872
Thailand,2019,561
Vietnam,2019,652
Bahrain,2019,172
Iran,2019,136
Jordan,2019,253
Kuwait,2019,817
Lebanon,2019,565
Oman,2019,253
Qatar,2019,360
Saudi Arabia,2019,22788
United Arab Emirates,2019,13999
Australia,2019,18997
New Zealand,2019,1059
Brazil,2019,3521
Canada,2019,8011
USA,2019,10407
Austria,2020,6343
Belgium,2020,2310
Bulgaria,2020,811
Czech Republic,2020,6066
Croatia,2020,354
Denmark,2020,2434
Estonia,2020,420
Finland,2020,1559
France,2020,79510
Germany,2020,36047
Greece,2020,277
Hungary,2020,2004
Ireland,2020,629
Italy,2020,7567
Latvia,2020,235
Lithuania,2020,385
Luxembourg,2020,345
Netherlands,2020,2206
Norway,2020,1179
Poland,2020,4146
Portugal,2020,820
Romania,2020,2657
Serbia,2020,405
Slovakia,2020,2301
Slovenia,2020,631
Spain,2020,1523
Sweden,2020,5732
Switzerland,2020,7328
Turkey,2020,980
United Kingdom,2020,22687
Belarus,2020,261
Kazakhstan,2020,151
Russia,2020,5191
Ukraine,2020,1533
Comoros,2020,169
Madagascar,2020,2553
Seychelles,2020,1093
Algeria,2020,75
Angola,2020,127
Benin,2020,18
Botswana,2020,180
Burundi,2020,14
Cameroon,2020,100
Congo,2020,116
Egypt,2020,210
Ethiopia,2020,51
Gabon,2020,31
Ghana,2020,143
Ivory coast,2020,67
Kenya,2020,746
Lesotho,2020,49
Malawi,2020,62
Mayotte,2020,228
Morocco,2020,176
Mozambique,2020,358
Namibia,2020,196
Niger,2020,29
Nigeria,2020,607
Rwanda,2020,52
Senegal,2020,54
South Africa,2020,19370
Sudan,2020,17
Tanzania,2020,180
Togo,2020,13
Tunisia,2020,130
Uganda,2020,153
Zimbabwe,2020,355
Zambia,2020,169
Afghanistan,2020,178
Bangladesh,2020,258
Hong Kong,2020,116
India,2020,12781
Indonesia,2020,1081
Israel,2020,1741
Japan,2020,429
Korea,2020,776
Malaysia,2020,287
Maldives,2020,8
Nepal,2020,101
Pakistan,2020,187
China,2020,5189
Philippines,2020,1158
Singapore,2020,258
Sri Lanka,2020,137
Taiwan,2020,287
Thailand,2020,86
Vietnam,2020,188
Bahrain,2020,18
Iran,2020,20
Jordan,2020,52
Kuwait,2020,177
Lebanon,2020,75
Oman,2020,32
Qatar,2020,35
Saudi Arabia,2020,4982
United Arab Emirates,2020,1587
Australia,2020,3073
New Zealand,2020,196
Brazil,2020,868
Canada,2020,1804
USA,2020,2651
